,customer-lifetime-value,income,monthly-premium-auto,number-of-open-complaints,total-claim-amount
0,588174,0,1000,0,2
1,697953,0,94,0,1131
2,1288743,48767,108,0,566
3,764586,0,106,0,529
4,536307,36357,68,0,17
5,825629,62902,69,0,159
6,538089,55350,67,0,321
7,721610,0,101,0,363
8,2412750,14072,71,0,511
9,738817,28812,93,0,425
10,473899,0,67,0,482
11,819719,0,110,0,528
12,879879,77026,110,2,472
13,881901,99845,110,1,528
14,538443,83689,70,2,307
15,746313,24599,64,1,42
16,256686,25049,67,0,454
17,394524,28855,101,0,647
18,571033,51148,72,0,308
19,816261,66140,101,0,484
20,287205,57749,74,0,355
21,617710,61040,79,1,20
22,2412750,14072,71,0,511
23,245019,0,73,3,554
24,239210,17870,61,0,439
25,580206,97541,72,0,389
26,394637,0,111,0,799
27,916206,29723,80,0,20
28,1290256,86584,111,2,532
29,323536,75690,80,1,384
30,245458,23158,63,1,322
31,1897545,65999,237,0,615
32,471532,0,65,0,308
33,473787,0,130,0,23
34,493291,37260,62,0,15
35,574422,68987,71,0,204
36,1389173,42305,117,0,561
37,738097,65706,91,0,436
38,309003,0,90,0,648
39,252163,53243,66,2,157
40,265206,0,70,1,484
41,277104,50071,71,0,18
42,393900,60021,99,0,882
43,1223187,43244,103,0,494
44,495165,46896,35354,1,31
45,1281910,10105,172,3,0
46,446851,0,73,3,579
47,551434,23218,71,0,447
48,334387,0,92,0,529
49,229447,0,62,0,313
50,3670742,24804,104,0,593
51,3347334,33190,106,0,508
52,798343,36014,69,3,173
53,487938,67163,61,2,33
54,429399,16701,113,0,831
55,716439,46623,91,0,436
56,761951,64749,64,0,302
57,395800,0,101,0,484
58,449949,16969,124,2,704
59,405956,11621,108,0,518
60,445811,17622,65,1,312
61,811033,11489,105,0,504
62,333976,0,94,0,863
63,2426101,66525,100,0,104
64,661397,0,63,0,676
65,293069,33663,73,0,350
66,867219,22547,112,0,537
67,1163866,61486,97,0,465
68,684615,0,95,0,456
69,1172777,29879,102,0,500
70,2264383,93011,113,0,281
71,261447,65186,65,0,5
72,245175,26840,64,2,307
73,678127,0,104,1,982
74,497480,75644,65,3,467
75,859160,38984,73,0,350
76,559216,71811,71,0,29
77,800947,20961,67,0,321
78,588174,41275,96,0,41
79,5816655,61321,186,1,427
80,802522,0,77,0,25
81,578018,51066,74,0,787
82,411853,34378,102,0,489
83,252307,43072,63,0,302
84,655421,25222,90,0,475
85,538275,77552,68,1,45
86,592672,23091,96,5,460
87,268347,48269,69,3,282
88,269518,32720,67,0,321
89,604702,20396,76,1,364
90,1317101,21513,119,1,679
91,1595001,0,87,1,46
92,252765,80744,63,0,11
93,267209,52822,67,0,350
94,531329,0,77,1,863
95,2094619,69738,74,1,492
96,837535,17780,109,0,132
97,480166,18107,62,0,297
98,574594,57740,74,3,269
99,606611,32627,76,0,380
100,800230,0,107,0,513
101,239391,0,70,0,425
102,476281,65795,62,1,49
103,433038,60475,107,0,513
104,940272,0,130,0,936
105,696669,41837,88,0,142
106,769406,32303,65,0,45
107,871756,0,117,1,561
108,592874,40531,74,0,30
109,245297,79898,62,1,271
110,670157,56398,85,0,408
111,499655,71600,63,0,46
112,849269,27804,109,0,784
113,771349,45506,66,2,316
114,518579,99428,6464,1,48
115,729006,0,102,1,489
116,477294,20993,133,0,638
117,680649,37839,86,0,465
118,246978,92711,62,0,368
119,310392,74665,78,2,236
120,1048491,61108,89,0,49
121,890273,46833,112,0,64
122,549944,88768,68,0,326
123,1502359,28262,192,0,921
124,250910,33555,63,0,101
125,3122174,42780,113,1,542
126,313350,58850,78,0,143
127,383745,21880,97,0,424
128,1179049,25251,66,0,316
129,282986,25317,71,0,50
130,430580,24188,109,0,523
131,597397,41611,74,0,113
132,567044,28406,72,1,192
133,473174,69833,118,0,828
134,802637,0,74,0,532
135,402296,0,117,0,975
136,961831,80536,119,0,53
137,725595,88891,89,0,50
138,955292,97732,79,0,289
139,1038855,61222,89,0,392
140,247012,0,74,0,721
141,561906,50335,140,0,456
142,904711,0,127,0,1087
143,268731,82210,68,4,51
144,373150,0,96,0,460
145,366077,64495,92,0,251
146,792882,0,72,0,345
147,501175,28859,67,3,321
148,798825,77330,99,0,99
149,388545,0,105,0,504
150,935773,33060,117,0,56
151,254068,42557,65,0,57
152,488516,26372,126,0,604
153,975330,17514,127,0,8
154,294615,89270,74,0,316
155,258111,29757,65,0,312
156,351738,51814,92,0,56
157,974335,24028,82,0,393
158,387364,28142,105,0,701
159,764928,52705,64,1,128
160,228759,0,63,0,679
161,825576,54040,103,0,59
162,871492,0,118,0,566
163,681923,22492,85,0,61
164,741619,0,77,2,554
165,777115,21876,68,0,465
166,696834,0,69,1,496
167,425028,0,61,1,292
168,1977656,70699,82,0,256
169,2134346,0,74,1,355
170,241313,27501,63,0,542
171,1536384,15897,101,0,303
172,845696,25141,73,1,25
173,218964,0,61,3,292
174,578018,51066,74,0,787
175,463998,28358,117,0,84
176,382443,62530,95,0,61
177,596811,90972,74,0,232
178,859033,63110,72,0,68
179,407663,29549,104,0,710
180,1225260,0,115,1,552
181,1693627,39411,217,2,1122
182,489243,21709,62,0,408
183,994230,67890,85,0,408
184,373583,0,110,0,792
185,1311752,84311,111,4,532
186,457452,99316,114,0,754
187,547006,54507,138,0,702
188,297884,64586,76,0,206
189,641096,61709,82,2,275
190,447902,94656,111,1,459
191,238373,0,69,0,496
192,276449,61085,70,1,336
193,792010,89284,67,3,321
194,688909,0,63,0,302
195,327419,31686,81,0,430
196,995170,56855,255,0,1836
197,252155,53703,67,2,67
198,2370611,0,96,1,844
199,604702,20396,76,1,364
200,1114030,27679,150,0,722
201,433406,23904,123,3,590
202,279974,65351,69,0,481
203,792313,0,113,0,1124
204,368811,0,63,3,669
205,1206745,0,116,0,1284
206,292497,64459,72,0,240
207,1501409,32961,190,0,912
